"","measure","pitch","fret","mod.fret","string","modification","distance","int","section","rhy","idx","moving.avg"
"80",24,"B4",16,16,1,"",2," +2, +0","B",0.25,5,NA
"81",24,"A4",14,14,1,"",2," -2, +0","B",0.25,6,1.91257038496822
"82",24,"G4",12,12,1,"",2," -2, +0","B",0.25,7,2.05901699437495
"83",24,"F#4",16,16,2,"",4.12310562561766," +4, +1","B",0.25,8,2.53077640640441
"84",24,"E4",14,14,2,"",2," -2, +0","B",0.25,9,2.53077640640441
"85",24,"D4",12,12,2,"",2," -2, +0","B",0.25,10,2.53077640640441
"86",25,"C#4",16,16,3,"",4.12310562561766," +4, +1","B",0.25,11,3.06155281280883
"87",25,"B3",14,14,3,"",2," -2, +0","B",0.25,12,2.53077640640441
"88",25,"A3",12,12,3,"",2," -2, +0","B",0.25,13,2.53077640640441
"89",25,"B3",14,14,3,"",2," +2, +0","B",0.25,14,2.53077640640441
"90",25,"C#4",16,16,3,"",2," +2, +0","B",0.25,15,2
"91",25,"D4",12,12,2,"",4.12310562561766," -4, -1","B",0.25,16,2.53077640640441
"92",25,"E4",14,14,2,"",2," +2, +0","B",0.25,17,2.53077640640441
"93",25,"F#4",16,16,2,"",2," +2, +0","B",0.25,18,2.53077640640441
"94",25,"G4",12,12,1,"",4.12310562561766," -4, -1","B",0.5,19,3.06155281280883
"95",25,"B4",16,16,1,"",4," +4, +0","B",0.5,20,3.03077640640441
"96",25,"A4",14,14,1,"",2," -2, +0","B",0.5,21,3.03077640640441
"97",25,"G4",12,12,1,"",2," -2, +0","B",0.5,22,3.03077640640441
"98",26,"G4",12,12,1,"",0," +0, +0","B",2,23,2
"99",26,"F#4",11,11,1,"",1," -1, +0","B",1,24,1.25
"100",26,"r",NA,11,NA,"",NA," +0, NA","B",NA,25,NA
"101",26,"D5",19,19,1,"",NA," +8, NA","B",1,26,NA
"102",27,"D5",19,19,1,"",0," +0, +0","B",2.5,27,NA
"103",27,"C#5",18,18,1,"",1," -1, +0","B",0.5,28,NA
"104",27,"B4",16,16,1,"",2," -2, +0","B",0.5,29,NA
"105",27,"A4",14,14,1,"",2," -2, +0","B",0.5,30,1.25
"106",28,"A4",14,14,1,"",0," +0, +0","B",2,31,1.25
"107",28,"G#4",12,12,1,"",2," -2, +0","B",1,32,1.5
"108",28,"r",NA,12,NA,"",NA," +0, NA","B",NA,33,NA
"109",28,"D5",19,19,1,"",NA," +7, NA","B",1,34,NA
"110",29,"D5",19,19,1,"",0," +0, +0","B",2.5,35,NA
"111",29,"B4",16,16,1,"",3," -3, +0","B",0.5,36,NA
"112",29,"A4",14,14,1,"",2," -2, +0","B",0.5,37,NA
"113",29,"G4",12,12,1,"",2," -2, +0","B",0.5,38,1.75
"114",30,"G4",12,12,1,"",0," +0, +0","B",0.5,39,1.75
"115",30,"F#4",16,16,2,"",4.12310562561766," +4, +1","B",0.5,40,2.03077640640441
"116",30,"F#4",16,16,2,"",0," +0, +0","B",2,41,1.53077640640441
"117",30,"E4",14,14,2,"",2," -2, +0","B",0.25,42,1.53077640640441
"118",30,"F#4",16,16,2,"",2," +2, +0","B",0.25,43,2.03077640640441
"119",30,"G4",12,12,1,"",4.12310562561766," -4, -1","B",0.25,44,2.03077640640441
"120",30,"A4",14,14,1,"",2," +2, +0","B",0.25,45,2.53077640640441
"121",31,"B4",16,16,1,"",2," +2, +0","B",0.25,46,2.53077640640441
"122",31,"A4",14,14,1,"",2," -2, +0","B",0.25,47,2.53077640640441
"123",31,"B4",16,16,1,"",2," +2, +0","B",0.25,48,2
"124",31,"A4",14,14,1,"",2," -2, +0","B",0.25,49,2
"125",31,"G4",12,12,1,"",2," -2, +0","B",0.25,50,2
"126",31,"F#4",16,16,2,"",4.12310562561766," +4, +1","B",0.25,51,2.53077640640441
"127",31,"E4",14,14,2,"",2," -2, +0","B",0.25,52,2.53077640640441
"128",31,"D4",12,12,2,"",2," -2, +0","B",0.25,53,2.53077640640441
"129",31,"B4",16,16,1,"",4.12310562561766," +4, -1","B",0.25,54,3.06155281280883
"130",31,"A4",14,14,1,"",2," -2, +0","B",0.25,55,2.53077640640441
"131",31,"B4",16,16,1,"",2," +2, +0","B",0.25,56,2.53077640640441
"132",31,"A4",14,14,1,"",2," -2, +0","B",0.25,57,2.53077640640441
"133",31,"G4",12,12,1,"",2," -2, +0","B",0.25,58,2
"134",31,"F#4",16,16,2,"",4.12310562561766," +4, +1","B",0.25,59,2.53077640640441
"135",31,"E4",14,14,2,"",2," -2, +0","B",0.25,60,2.53077640640441
"136",31,"D4",12,12,2,"",2," -2, +0","B",0.25,61,2.53077640640441
"137",32,"A4",14,14,1,"",2.23606797749979," +2, -1","B",0.25,62,2.58979340077936
"138",32,"B4",16,16,1,"",2," +2, +0","B",0.25,63,2.05901699437495
"139",32,"A4",14,14,1,"",2," -2, +0","B",0.25,64,2.05901699437495
"140",32,"G4",12,12,1,"",2," -2, +0","B",0.25,65,2.05901699437495
"141",32,"F#4",11,11,1,"",1," -1, +0","B",0.25,66,1.75
"142",32,"E4",9,9,1,"",2," -2, +0","B",0.25,67,1.75
